Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,-164.338000,-168.719500,315.000000,bottom
C2,0.1uF,C_0805_2012Metric,-157.607000,-156.082999,135.000000,bottom
C3,0.1uF,C_0805_2012Metric,-171.958000,-150.558500,45.000000,bottom
C4,0.1uF,C_0805_2012Metric,-178.358736,-156.749590,45.000000,bottom
C5,0.1uF,C_0805_2012Metric,-159.538749,-164.819251,225.000000,bottom
C6,0.1uF,C_0805_2012Metric,-351.205800,-95.275400,90.000000,bottom
C7,1uF,C_0805_2012Metric,-161.099500,-166.370000,225.000000,bottom
C8,22pF,C_0805_2012Metric,-163.830000,-149.796500,135.000000,bottom
C9,22pF,C_0805_2012Metric,-159.131000,-154.495500,315.000000,bottom
C10,0.1uF,C_0805_2012Metric,-301.993300,-95.275400,90.000000,bottom
C11,0.1uF,C_0805_2012Metric,-202.438000,-95.262700,90.000000,bottom
C12,0.1uF,C_0805_2012Metric,-138.861800,-95.262700,90.000000,bottom
C13,0.1uF,C_0805_2012Metric,-251.587000,-95.262700,90.000000,bottom
C14,0.1uF,C_0805_2012Metric,-87.045800,-151.409400,270.000000,bottom
C15,0.1uF,C_0805_2012Metric,-102.666800,-95.250000,90.000000,bottom
C16,0.1uF,C_0805_2012Metric,-126.580900,-153.301700,270.000000,bottom
C17,0.1uF,C_0805_2012Metric,-251.625100,-151.841200,270.000000,bottom
C18,0.1uF,C_0805_2012Metric,-301.942500,-151.841200,270.000000,bottom
C19,0.1uF,C_0805_2012Metric,-351.231200,-151.841200,270.000000,bottom
C20,0.1uF,C_0805_2012Metric,-202.120500,-152.082500,270.000000,bottom
D1,D_Small,D_SOT-23_ANK,-97.688400,-91.046300,270.000000,bottom
D2,D_Small,D_SOT-23_ANK,-115.062000,-91.059000,270.000000,bottom
D3,D_Small,D_SOT-23_ANK,-153.162000,-91.059000,270.000000,bottom
D4,D_Small,D_SOT-23_ANK,-191.262000,-91.059000,270.000000,bottom
D5,D_Small,D_SOT-23_ANK,-229.362000,-91.059000,270.000000,bottom
D6,D_Small,D_SOT-23_ANK,-267.462000,-91.059000,270.000000,bottom
D7,D_Small,D_SOT-23_ANK,-305.562000,-91.059000,270.000000,bottom
D8,D_Small,D_SOT-23_ANK,-343.662000,-91.059000,270.000000,bottom
D9,D_Small,D_SOT-23_ANK,-105.537000,-109.982000,270.000000,bottom
D10,D_Small,D_SOT-23_ANK,-124.650500,-109.982000,270.000000,bottom
D11,D_Small,D_SOT-23_ANK,-162.750500,-109.982000,270.000000,bottom
D12,D_Small,D_SOT-23_ANK,-200.850500,-109.982000,270.000000,bottom
D13,D_Small,D_SOT-23_ANK,-238.950500,-109.982000,270.000000,bottom
D14,D_Small,D_SOT-23_ANK,-277.050500,-109.982000,270.000000,bottom
D15,D_Small,D_SOT-23_ANK,-315.087000,-109.982000,270.000000,bottom
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-81.724500,-152.641300,180.000000,bottom
D17,D_Small,D_SOT-23_ANK,-87.757000,-128.905000,270.000000,bottom
D18,D_Small,D_SOT-23_ANK,-129.413000,-128.905000,270.000000,bottom
D19,D_Small,D_SOT-23_ANK,-167.513000,-128.905000,270.000000,bottom
D20,D_Small,D_SOT-23_ANK,-205.613000,-128.905000,270.000000,bottom
D21,D_Small,D_SOT-23_ANK,-243.713000,-128.905000,270.000000,bottom
D22,D_Small,D_SOT-23_ANK,-281.813000,-128.905000,270.000000,bottom
D23,D_Small,D_SOT-23_ANK,-344.741500,-128.968500,270.000000,bottom
D24,D_Small,D_SOT-23_ANK,-100.965000,-148.209000,270.000000,bottom
D25,D_Small,D_SOT-23_ANK,-120.015000,-148.209000,270.000000,bottom
D26,D_Small,D_SOT-23_ANK,-157.988000,-148.209000,270.000000,bottom
D27,D_Small,D_SOT-23_ANK,-196.088000,-148.209000,270.000000,bottom
D28,D_Small,D_SOT-23_ANK,-234.188000,-148.209000,270.000000,bottom
D29,D_Small,D_SOT-23_ANK,-272.288000,-148.209000,270.000000,bottom
D30,D_Small,D_SOT-23_ANK,-321.437000,-148.209000,270.000000,bottom
D31,D_Small,D_SOT-23_ANK,-343.662000,-109.982000,270.000000,bottom
D32,D_Small,D_SOT-23_ANK,-83.058000,-167.640000,270.000000,bottom
D33,D_Small,D_SOT-23_ANK,-247.523000,-167.132000,270.000000,bottom
D34,D_Small,D_SOT-23_ANK,-131.635500,-167.640000,270.000000,bottom
D35,D_Small,D_SOT-23_ANK,-300.990000,-167.132000,270.000000,bottom
D36,D_Small,D_SOT-23_ANK,-343.662000,-167.132000,270.000000,bottom
D37,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-132.676900,-152.641300,180.000000,bottom
D38,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-196.011800,-152.742900,180.000000,bottom
D39,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-245.630700,-152.501600,180.000000,bottom
D40,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-296.011600,-152.501600,180.000000,bottom
D41,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-345.338400,-152.501600,180.000000,bottom
D42,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-345.338400,-95.935800,0.000000,bottom
D43,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-296.011600,-95.935800,0.000000,bottom
D44,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-245.630700,-95.935800,0.000000,bottom
D45,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-196.011800,-95.935800,0.000000,bottom
D46,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-132.676900,-95.935800,0.000000,bottom
D47,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-96.735900,-95.923100,0.000000,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,-82.591100,-102.476300,0.000000,bottom
R1,5.1k,R_0805_2012Metric,-74.993500,-84.554700,90.000000,bottom
R2,5.1k,R_0805_2012Metric,-78.041500,-84.518500,90.000000,bottom
R3,22,R_0805_2012Metric,-85.128100,-107.124500,270.000000,bottom
R4,22,R_0805_2012Metric,-83.032600,-107.124500,270.000000,bottom
R5,10k,R_0805_2012Metric,-176.876994,-155.267847,225.000000,bottom
R6,10k,R_0805_2012Metric,-172.656500,-168.338500,135.000000,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,-167.640000,-159.258000,45.000000,bottom
U2,SRV05-4,SOT-23-6,-76.484300,-95.620800,0.000000,bottom
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-76.977240,-76.692760,0.000000,bottom
X1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-161.480500,-152.146000,225.000000,bottom
